AgeGen,AvgTime,MedianTime,MinTime,MaxTime
20-24M,1639,1528,804,6568
20-24W,1891,1792,932,5984
20-24X,1931,1869,962,3984
25-29M,1625,1541,817,5184
25-29W,1883,1793,916,34375
25-29X,1924,1801,1073,4491
30-34M,1651,1559,809,5421
30-34W,1942,1840,926,5751
30-34X,1951,1841,1080,4419
35-39M,1669,1580,832,5990
35-39W,2002,1898,928,6573
35-39X,1778,1694,1075,3671
40-44M,1717,1626,895,4912
40-44W,2058,1941,1008,6571
40-44X,1700,1570,963,4519
45-49M,1786,1690,978,4700
45-49W,2121,2001,978,5431
45-49X,2280,2369,1808,2662
50-54M,1864,1754,975,6565
50-54W,2183,2048,1148,5664
50-54X,1665,1613,1613,1770
55-59M,1934,1824,1039,5756
55-59W,2287,2143,1101,6215
55-59X,1916,1916,1734,2098
60-64M,2008,1884,1126,6565
60-64W,2341,2209,1175,6553
60-64X,1940,1940,1940,1940
65-69M,2114,1955,1190,4891
65-69W,2474,2303,1283,5535
70-74M,2395,2173,1305,5839
70-74W,2891,2798,1690,6491
70-74X,3365,3365,3365,3365
75-79M,2515,2462,1327,5109
75-79W,3094,3075,1786,6520
75-79X,2527,2527,2527,2527
80+M,2932,2890,1680,6697
80+W,3194,3170,1972,4808
U20,2025,1891,1528,4285
U20M,1998,1878,939,5757
U20W,2264,2149,1047,7880
U20X,2453,2340,1380,3670
Grand Total,1882,1773,804,34375